epoch,dropout,skip_connections,lr,swa_lr,batch_size,train_acc,val_acc,swa_val_acc
1,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.5183127338700533,0.6049718744329523,0.9493739793140991
2,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.5718335412178251,0.6412629286880784,0.9493739793140991
3,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.6097063159088332,0.6728361458900382,0.9493739793140991
4,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.6634539063385871,0.7076755579749592,0.9493739793140991
5,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.699455720603243,0.7390673199056432,0.9493739793140991
6,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.7298446535888423,0.7592088550172382,0.9493739793140991
7,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.7529765279510149,0.7778987479586282,0.9493739793140991
8,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.780417280870847,0.8009435674106333,0.9493739793140991
9,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.8814491438938655,0.9410270368354201,0.9493739793140991
10,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.9438711872094342,0.9551805479949192,0.9493739793140991
11,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.9520920739312847,0.9413899473779713,0.9493739793140991
12,0.5736904279109415,False,3.9069592858789e-05,0.0154418961446895,64,0.9470461503571833,0.9372164761386318,0.9493739793140991
